Name	Label	Concept	Required	Limit	Predicate Type	data_label
DP02_0013M	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years
DP02_0013PE	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years
DP02_0013PM	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years
DP02_0014E	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over
DP02_0014M	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over
DP02_0014PE	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over
DP02_0014PM	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over
DP02_0015E	HOUSEHOLDS BY TYPE!!Total households!!Average household size	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Average household size
DP02_0015M	HOUSEHOLDS BY TYPE!!Total households!!Average household size	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Average household size
DP02_0015PE	HOUSEHOLDS BY TYPE!!Total households!!Average household size	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Average household size
DP02_0015PM	HOUSEHOLDS BY TYPE!!Total households!!Average household size	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Average household size
DP02_0016E	HOUSEHOLDS BY TYPE!!Total households!!Average family size	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Average family size
DP02_0016M	HOUSEHOLDS BY TYPE!!Total households!!Average family size	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Average family size
DP02_0016PE	HOUSEHOLDS BY TYPE!!Total households!!Average family size	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Average family size
DP02_0016PM	HOUSEHOLDS BY TYPE!!Total households!!Average family size	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	HOUSEHOLDS BY TYPE!!Total households!!Average family size
DP02_0017E	RELATIONSHIP!!Population in households	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households
DP02_0017M	RELATIONSHIP!!Population in households	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households
DP02_0017PE	RELATIONSHIP!!Population in households	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households
DP02_0017PM	RELATIONSHIP!!Population in households	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households
DP02_0018E	RELATIONSHIP!!Population in households!!Householder	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Householder
DP02_0018M	RELATIONSHIP!!Population in households!!Householder	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Householder
DP02_0018PE	RELATIONSHIP!!Population in households!!Householder	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Householder
DP02_0018PM	RELATIONSHIP!!Population in households!!Householder	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Householder
DP02_0019E	RELATIONSHIP!!Population in households!!Spouse	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Spouse
DP02_0019M	RELATIONSHIP!!Population in households!!Spouse	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Spouse
DP02_0019PE	RELATIONSHIP!!Population in households!!Spouse	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Spouse
DP02_0019PM	RELATIONSHIP!!Population in households!!Spouse	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Spouse
DP02_0020E	RELATIONSHIP!!Population in households!!Child	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Child
DP02_0020M	RELATIONSHIP!!Population in households!!Child	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Child
DP02_0020PE	RELATIONSHIP!!Population in households!!Child	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Child
DP02_0020PM	RELATIONSHIP!!Population in households!!Child	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Child
DP02_0021E	RELATIONSHIP!!Population in households!!Other relatives	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Other relatives
DP02_0021M	RELATIONSHIP!!Population in households!!Other relatives	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Other relatives
DP02_0021PE	RELATIONSHIP!!Population in households!!Other relatives	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Other relatives
DP02_0021PM	RELATIONSHIP!!Population in households!!Other relatives	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Other relatives
DP02_0022E	RELATIONSHIP!!Population in households!!Nonrelatives	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Nonrelatives
DP02_0022M	RELATIONSHIP!!Population in households!!Nonrelatives	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Nonrelatives
DP02_0022PE	RELATIONSHIP!!Population in households!!Nonrelatives	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Nonrelatives
DP02_0022PM	RELATIONSHIP!!Population in households!!Nonrelatives	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Nonrelatives
DP02_0023E	RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner
DP02_0023M	RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner
DP02_0023PE	RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner
DP02_0023PM	RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner
DP02_0024E	MARITAL STATUS!!Males 15 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over
DP02_0024M	MARITAL STATUS!!Males 15 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over
DP02_0024PE	MARITAL STATUS!!Males 15 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over
DP02_0024PM	MARITAL STATUS!!Males 15 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over
DP02_0025E	MARITAL STATUS!!Males 15 years and over!!Never married	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Never married
DP02_0025M	MARITAL STATUS!!Males 15 years and over!!Never married	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Never married
DP02_0025PE	MARITAL STATUS!!Males 15 years and over!!Never married	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Never married
DP02_0025PM	MARITAL STATUS!!Males 15 years and over!!Never married	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Never married
DP02_0026E	"MARITAL STATUS!!Males 15 years and over!!Now married, except separated"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"MARITAL STATUS!!Males 15 years and over!!Now married, except separated"
DP02_0026M	"MARITAL STATUS!!Males 15 years and over!!Now married, except separated"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"MARITAL STATUS!!Males 15 years and over!!Now married, except separated"
DP02_0026PE	"MARITAL STATUS!!Males 15 years and over!!Now married, except separated"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"MARITAL STATUS!!Males 15 years and over!!Now married, except separated"
DP02_0026PM	"MARITAL STATUS!!Males 15 years and over!!Now married, except separated"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"MARITAL STATUS!!Males 15 years and over!!Now married, except separated"
DP02_0027E	MARITAL STATUS!!Males 15 years and over!!Separated	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Separated
DP02_0027M	MARITAL STATUS!!Males 15 years and over!!Separated	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Separated
DP02_0027PE	MARITAL STATUS!!Males 15 years and over!!Separated	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Separated
DP02_0027PM	MARITAL STATUS!!Males 15 years and over!!Separated	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Separated
DP02_0028E	MARITAL STATUS!!Males 15 years and over!!Widowed	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Widowed
DP02_0028M	MARITAL STATUS!!Males 15 years and over!!Widowed	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Widowed
DP02_0028PE	MARITAL STATUS!!Males 15 years and over!!Widowed	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Widowed
DP02_0028PM	MARITAL STATUS!!Males 15 years and over!!Widowed	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Widowed
DP02_0029E	MARITAL STATUS!!Males 15 years and over!!Divorced	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Divorced
DP02_0029M	MARITAL STATUS!!Males 15 years and over!!Divorced	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Divorced
DP02_0029PE	MARITAL STATUS!!Males 15 years and over!!Divorced	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Divorced
DP02_0029PM	MARITAL STATUS!!Males 15 years and over!!Divorced	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Males 15 years and over!!Divorced
DP02_0030E	MARITAL STATUS!!Females 15 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Females 15 years and over
DP02_0030M	MARITAL STATUS!!Females 15 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Females 15 years and over
DP02_0030PE	MARITAL STATUS!!Females 15 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Females 15 years and over
DP02_0030PM	MARITAL STATUS!!Females 15 years and over	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Females 15 years and over
DP02_0031E	MARITAL STATUS!!Females 15 years and over!!Never married	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Females 15 years and over!!Never married
DP02_0031M	MARITAL STATUS!!Females 15 years and over!!Never married	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Females 15 years and over!!Never married
DP02_0031PE	MARITAL STATUS!!Females 15 years and over!!Never married	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Females 15 years and over!!Never married
DP02_0031PM	MARITAL STATUS!!Females 15 years and over!!Never married	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	MARITAL STATUS!!Females 15 years and over!!Never married
DP02_0032E	"MARITAL STATUS!!Females 15 years and over!!Now married, except separated"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"MARITAL STATUS!!Females 15 years and over!!Now married, except separated"
DP02_0032M	"MARITAL STATUS!!Females 15 years and over!!Now married, except separated"	SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES	not required		int	"MARITAL STATUS!!Females 15 years and over!!Now married, except separated"
